Using cuda for training.
Training:Epoch[000/030] Iteration[110/454] Loss: 0.3061 Acc:72.27%
Training:Epoch[000/030] Iteration[111/454] Loss: 0.2940 Acc:72.41%
Training:Epoch[000/030] Iteration[112/454] Loss: 0.2820 Acc:72.55%
Training:Epoch[000/030] Iteration[113/454] Loss: 0.2800 Acc:72.69%
Training:Epoch[000/030] Iteration[114/454] Loss: 0.2817 Acc:72.82%
Training:Epoch[000/030] Iteration[115/454] Loss: 0.2824 Acc:72.95%
Training:Epoch[000/030] Iteration[116/454] Loss: 0.2852 Acc:73.08%
Training:Epoch[000/030] Iteration[117/454] Loss: 0.2849 Acc:73.21%
Training:Epoch[000/030] Iteration[118/454] Loss: 0.2887 Acc:73.34%
Training:Epoch[000/030] Iteration[119/454] Loss: 0.2692 Acc:73.47%
Training:Epoch[000/030] Iteration[120/454] Loss: 0.2733 Acc:73.59%
Training:Epoch[000/030] Iteration[121/454] Loss: 0.2730 Acc:73.72%
Training:Epoch[000/030] Iteration[122/454] Loss: 0.2581 Acc:73.84%
Training:Epoch[000/030] Iteration[123/454] Loss: 0.2561 Acc:73.97%
Training:Epoch[000/030] Iteration[124/454] Loss: 0.2869 Acc:74.08%
Training:Epoch[000/030] Iteration[125/454] Loss: 0.2475 Acc:74.21%
Training:Epoch[000/030] Iteration[126/454] Loss: 0.2772 Acc:74.32%
Training:Epoch[000/030] Iteration[127/454] Loss: 0.2607 Acc:74.44%
Training:Epoch[000/030] Iteration[128/454] Loss: 0.2796 Acc:74.55%
Training:Epoch[000/030] Iteration[129/454] Loss: 0.2552 Acc:74.66%
Training:Epoch[000/030] Iteration[130/454] Loss: 0.2481 Acc:74.78%
Training:Epoch[000/030] Iteration[131/454] Loss: 0.2663 Acc:74.89%
Training:Epoch[000/030] Iteration[132/454] Loss: 0.2391 Acc:75.00%
Training:Epoch[000/030] Iteration[133/454] Loss: 0.2426 Acc:75.12%
Training:Epoch[000/030] Iteration[134/454] Loss: 0.2394 Acc:75.23%
Training:Epoch[000/030] Iteration[135/454] Loss: 0.2305 Acc:75.35%
Training:Epoch[000/030] Iteration[136/454] Loss: 0.2451 Acc:75.46%
Training:Epoch[000/030] Iteration[137/454] Loss: 0.2337 Acc:75.56%
Training:Epoch[000/030] Iteration[138/454] Loss: 0.2241 Acc:75.68%
Training:Epoch[000/030] Iteration[139/454] Loss: 0.2258 Acc:75.78%
Training:Epoch[000/030] Iteration[140/454] Loss: 0.2201 Acc:75.89%
Training:Epoch[000/030] Iteration[141/454] Loss: 0.2170 Acc:75.99%
Training:Epoch[000/030] Iteration[142/454] Loss: 0.2079 Acc:76.11%
Training:Epoch[000/030] Iteration[143/454] Loss: 0.2244 Acc:76.21%
Training:Epoch[000/030] Iteration[144/454] Loss: 0.2074 Acc:76.32%
Training:Epoch[000/030] Iteration[145/454] Loss: 0.2041 Acc:76.42%
Training:Epoch[000/030] Iteration[146/454] Loss: 0.2077 Acc:76.53%
Training:Epoch[000/030] Iteration[147/454] Loss: 0.2093 Acc:76.63%
Training:Epoch[000/030] Iteration[148/454] Loss: 0.2070 Acc:76.73%
Training:Epoch[000/030] Iteration[149/454] Loss: 0.2152 Acc:76.83%
Training:Epoch[000/030] Iteration[150/454] Loss: 0.1883 Acc:76.93%
Training:Epoch[000/030] Iteration[151/454] Loss: 0.2116 Acc:77.03%
Training:Epoch[000/030] Iteration[152/454] Loss: 0.2009 Acc:77.13%
Training:Epoch[000/030] Iteration[153/454] Loss: 0.1986 Acc:77.22%
Training:Epoch[000/030] Iteration[154/454] Loss: 0.1920 Acc:77.32%
Training:Epoch[000/030] Iteration[155/454] Loss: 0.1840 Acc:77.42%
Training:Epoch[000/030] Iteration[156/454] Loss: 0.1826 Acc:77.52%
Training:Epoch[000/030] Iteration[157/454] Loss: 0.1846 Acc:77.61%
Training:Epoch[000/030] Iteration[158/454] Loss: 0.1997 Acc:77.70%
Training:Epoch[000/030] Iteration[159/454] Loss: 0.1956 Acc:77.79%
Training:Epoch[000/030] Iteration[160/454] Loss: 0.1867 Acc:77.88%
Training:Epoch[000/030] Iteration[161/454] Loss: 0.1949 Acc:77.97%
Training:Epoch[000/030] Iteration[162/454] Loss: 0.1926 Acc:78.06%
Training:Epoch[000/030] Iteration[163/454] Loss: 0.1804 Acc:78.15%
Training:Epoch[000/030] Iteration[164/454] Loss: 0.1962 Acc:78.24%
Training:Epoch[000/030] Iteration[165/454] Loss: 0.1784 Acc:78.33%
Training:Epoch[000/030] Iteration[166/454] Loss: 0.1914 Acc:78.41%
Training:Epoch[000/030] Iteration[167/454] Loss: 0.1919 Acc:78.50%
Training:Epoch[000/030] Iteration[168/454] Loss: 0.1724 Acc:78.59%
Training:Epoch[000/030] Iteration[169/454] Loss: 0.1794 Acc:78.67%
Training:Epoch[000/030] Iteration[170/454] Loss: 0.1638 Acc:78.76%
Training:Epoch[000/030] Iteration[171/454] Loss: 0.1780 Acc:78.84%
Training:Epoch[000/030] Iteration[172/454] Loss: 0.1697 Acc:78.92%
Training:Epoch[000/030] Iteration[173/454] Loss: 0.1544 Acc:79.01%
Training:Epoch[000/030] Iteration[174/454] Loss: 0.1662 Acc:79.09%
Training:Epoch[000/030] Iteration[175/454] Loss: 0.1682 Acc:79.17%
Training:Epoch[000/030] Iteration[176/454] Loss: 0.1667 Acc:79.26%
Training:Epoch[000/030] Iteration[177/454] Loss: 0.1670 Acc:79.33%
Training:Epoch[000/030] Iteration[178/454] Loss: 0.1891 Acc:79.41%
Training:Epoch[000/030] Iteration[179/454] Loss: 0.1545 Acc:79.49%
Training:Epoch[000/030] Iteration[180/454] Loss: 0.1681 Acc:79.56%
Training:Epoch[000/030] Iteration[181/454] Loss: 0.1527 Acc:79.65%
Training:Epoch[000/030] Iteration[182/454] Loss: 0.1524 Acc:79.72%
Training:Epoch[000/030] Iteration[183/454] Loss: 0.1677 Acc:79.80%
Training:Epoch[000/030] Iteration[184/454] Loss: 0.1486 Acc:79.88%
Training:Epoch[000/030] Iteration[185/454] Loss: 0.1573 Acc:79.95%
Training:Epoch[000/030] Iteration[186/454] Loss: 0.1542 Acc:80.03%
Training:Epoch[000/030] Iteration[187/454] Loss: 0.1481 Acc:80.10%
Training:Epoch[000/030] Iteration[188/454] Loss: 0.1516 Acc:80.18%
Training:Epoch[000/030] Iteration[189/454] Loss: 0.1510 Acc:80.25%
Training:Epoch[000/030] Iteration[190/454] Loss: 0.1620 Acc:80.32%
Training:Epoch[000/030] Iteration[191/454] Loss: 0.1367 Acc:80.40%
Training:Epoch[000/030] Iteration[192/454] Loss: 0.1537 Acc:80.47%
Training:Epoch[000/030] Iteration[193/454] Loss: 0.1602 Acc:80.54%
Training:Epoch[000/030] Iteration[194/454] Loss: 0.1601 Acc:80.60%
Training:Epoch[000/030] Iteration[195/454] Loss: 0.1585 Acc:80.67%
Training:Epoch[000/030] Iteration[196/454] Loss: 0.1527 Acc:80.74%
Training:Epoch[000/030] Iteration[197/454] Loss: 0.1559 Acc:80.81%
Training:Epoch[000/030] Iteration[198/454] Loss: 0.1297 Acc:80.88%
Training:Epoch[000/030] Iteration[199/454] Loss: 0.1503 Acc:80.94%
Training:Epoch[000/030] Iteration[200/454] Loss: 0.1499 Acc:81.01%
Training:Epoch[000/030] Iteration[201/454] Loss: 0.1441 Acc:81.08%
Training:Epoch[000/030] Iteration[202/454] Loss: 0.1421 Acc:81.15%
Training:Epoch[000/030] Iteration[203/454] Loss: 0.1283 Acc:81.21%
Training:Epoch[000/030] Iteration[204/454] Loss: 0.1428 Acc:81.28%
Training:Epoch[000/030] Iteration[205/454] Loss: 0.1326 Acc:81.34%
Training:Epoch[000/030] Iteration[206/454] Loss: 0.1491 Acc:81.41%
Training:Epoch[000/030] Iteration[207/454] Loss: 0.1384 Acc:81.47%
Training:Epoch[000/030] Iteration[208/454] Loss: 0.1460 Acc:81.54%
Training:Epoch[000/030] Iteration[209/454] Loss: 0.1503 Acc:81.60%
Training:Epoch[000/030] Iteration[210/454] Loss: 0.1323 Acc:81.66%
Training:Epoch[000/030] Iteration[211/454] Loss: 0.1386 Acc:81.72%
Training:Epoch[000/030] Iteration[212/454] Loss: 0.1179 Acc:81.78%
Training:Epoch[000/030] Iteration[213/454] Loss: 0.1425 Acc:81.84%
Training:Epoch[000/030] Iteration[214/454] Loss: 0.1307 Acc:81.91%
Training:Epoch[000/030] Iteration[215/454] Loss: 0.1360 Acc:81.97%
Training:Epoch[000/030] Iteration[216/454] Loss: 0.1390 Acc:82.02%
Training:Epoch[000/030] Iteration[217/454] Loss: 0.1321 Acc:82.08%
Training:Epoch[000/030] Iteration[218/454] Loss: 0.1303 Acc:82.14%
Training:Epoch[000/030] Iteration[219/454] Loss: 0.1261 Acc:82.20%
Training:Epoch[000/030] Iteration[220/454] Loss: 0.1337 Acc:82.26%
Training:Epoch[000/030] Iteration[221/454] Loss: 0.1229 Acc:82.32%
Training:Epoch[000/030] Iteration[222/454] Loss: 0.1355 Acc:82.37%
Training:Epoch[000/030] Iteration[223/454] Loss: 0.1170 Acc:82.43%
Training:Epoch[000/030] Iteration[224/454] Loss: 0.1307 Acc:82.49%
Training:Epoch[000/030] Iteration[225/454] Loss: 0.1153 Acc:82.54%
Training:Epoch[000/030] Iteration[226/454] Loss: 0.1215 Acc:82.60%
Training:Epoch[000/030] Iteration[227/454] Loss: 0.1224 Acc:82.66%
Training:Epoch[000/030] Iteration[228/454] Loss: 0.1144 Acc:82.71%
Training:Epoch[000/030] Iteration[229/454] Loss: 0.1155 Acc:82.77%
Training:Epoch[000/030] Iteration[230/454] Loss: 0.1173 Acc:82.82%
Training:Epoch[000/030] Iteration[231/454] Loss: 0.1222 Acc:82.88%
Training:Epoch[000/030] Iteration[232/454] Loss: 0.1274 Acc:82.93%
Training:Epoch[000/030] Iteration[233/454] Loss: 0.1227 Acc:82.98%
Training:Epoch[000/030] Iteration[234/454] Loss: 0.1142 Acc:83.04%
Training:Epoch[000/030] Iteration[235/454] Loss: 0.1063 Acc:83.09%
Training:Epoch[000/030] Iteration[236/454] Loss: 0.1144 Acc:83.14%
Training:Epoch[000/030] Iteration[237/454] Loss: 0.1148 Acc:83.20%
Training:Epoch[000/030] Iteration[238/454] Loss: 0.1183 Acc:83.25%
Training:Epoch[000/030] Iteration[239/454] Loss: 0.1005 Acc:83.30%
Training:Epoch[000/030] Iteration[240/454] Loss: 0.1213 Acc:83.35%
Training:Epoch[000/030] Iteration[241/454] Loss: 0.1374 Acc:83.40%
Training:Epoch[000/030] Iteration[242/454] Loss: 0.1114 Acc:83.45%
Training:Epoch[000/030] Iteration[243/454] Loss: 0.1203 Acc:83.50%
Training:Epoch[000/030] Iteration[244/454] Loss: 0.1181 Acc:83.55%
Training:Epoch[000/030] Iteration[245/454] Loss: 0.1154 Acc:83.60%
Training:Epoch[000/030] Iteration[246/454] Loss: 0.1170 Acc:83.65%
Training:Epoch[000/030] Iteration[247/454] Loss: 0.1257 Acc:83.69%
Training:Epoch[000/030] Iteration[248/454] Loss: 0.1131 Acc:83.74%
Training:Epoch[000/030] Iteration[249/454] Loss: 0.1124 Acc:83.79%
Training:Epoch[000/030] Iteration[250/454] Loss: 0.1077 Acc:83.84%
Training:Epoch[000/030] Iteration[251/454] Loss: 0.0989 Acc:83.89%
Training:Epoch[000/030] Iteration[252/454] Loss: 0.1134 Acc:83.93%
Training:Epoch[000/030] Iteration[253/454] Loss: 0.1009 Acc:83.98%
Training:Epoch[000/030] Iteration[254/454] Loss: 0.0975 Acc:84.03%
Training:Epoch[000/030] Iteration[255/454] Loss: 0.1082 Acc:84.08%
Training:Epoch[000/030] Iteration[256/454] Loss: 0.0962 Acc:84.13%
Training:Epoch[000/030] Iteration[257/454] Loss: 0.1003 Acc:84.17%
Training:Epoch[000/030] Iteration[258/454] Loss: 0.0983 Acc:84.22%
Training:Epoch[000/030] Iteration[259/454] Loss: 0.0979 Acc:84.27%
Training:Epoch[000/030] Iteration[260/454] Loss: 0.1198 Acc:84.31%
Training:Epoch[000/030] Iteration[261/454] Loss: 0.1009 Acc:84.36%
Training:Epoch[000/030] Iteration[262/454] Loss: 0.1055 Acc:84.40%
Training:Epoch[000/030] Iteration[263/454] Loss: 0.1011 Acc:84.44%
Training:Epoch[000/030] Iteration[264/454] Loss: 0.1089 Acc:84.49%
Training:Epoch[000/030] Iteration[265/454] Loss: 0.0983 Acc:84.53%
Training:Epoch[000/030] Iteration[266/454] Loss: 0.1040 Acc:84.58%
Training:Epoch[000/030] Iteration[267/454] Loss: 0.1042 Acc:84.62%
Training:Epoch[000/030] Iteration[268/454] Loss: 0.1004 Acc:84.66%
Training:Epoch[000/030] Iteration[269/454] Loss: 0.1041 Acc:84.70%
Training:Epoch[000/030] Iteration[270/454] Loss: 0.1050 Acc:84.74%
Training:Epoch[000/030] Iteration[271/454] Loss: 0.0972 Acc:84.79%
Training:Epoch[000/030] Iteration[272/454] Loss: 0.1088 Acc:84.83%
Training:Epoch[000/030] Iteration[273/454] Loss: 0.0958 Acc:84.87%
Training:Epoch[000/030] Iteration[274/454] Loss: 0.1038 Acc:84.91%
Training:Epoch[000/030] Iteration[275/454] Loss: 0.1074 Acc:84.95%
Training:Epoch[000/030] Iteration[276/454] Loss: 0.0958 Acc:84.99%
Training:Epoch[000/030] Iteration[277/454] Loss: 0.1031 Acc:85.03%
Training:Epoch[000/030] Iteration[278/454] Loss: 0.1044 Acc:85.07%
Training:Epoch[000/030] Iteration[279/454] Loss: 0.0943 Acc:85.11%
Training:Epoch[000/030] Iteration[280/454] Loss: 0.0982 Acc:85.15%
Training:Epoch[000/030] Iteration[281/454] Loss: 0.0883 Acc:85.19%
Training:Epoch[000/030] Iteration[282/454] Loss: 0.0997 Acc:85.23%
Training:Epoch[000/030] Iteration[283/454] Loss: 0.0820 Acc:85.27%
Training:Epoch[000/030] Iteration[284/454] Loss: 0.0962 Acc:85.31%
Training:Epoch[000/030] Iteration[285/454] Loss: 0.0966 Acc:85.35%
Training:Epoch[000/030] Iteration[286/454] Loss: 0.0897 Acc:85.39%
Training:Epoch[000/030] Iteration[287/454] Loss: 0.1133 Acc:85.42%
Training:Epoch[000/030] Iteration[288/454] Loss: 0.1041 Acc:85.46%
Training:Epoch[000/030] Iteration[289/454] Loss: 0.1007 Acc:85.50%
Training:Epoch[000/030] Iteration[290/454] Loss: 0.0955 Acc:85.53%
Training:Epoch[000/030] Iteration[291/454] Loss: 0.0826 Acc:85.57%
Training:Epoch[000/030] Iteration[292/454] Loss: 0.0883 Acc:85.61%
Training:Epoch[000/030] Iteration[293/454] Loss: 0.1103 Acc:85.64%
Training:Epoch[000/030] Iteration[294/454] Loss: 0.0883 Acc:85.68%
Training:Epoch[000/030] Iteration[295/454] Loss: 0.0900 Acc:85.72%
Training:Epoch[000/030] Iteration[296/454] Loss: 0.0895 Acc:85.76%
Training:Epoch[000/030] Iteration[297/454] Loss: 0.0867 Acc:85.79%
Training:Epoch[000/030] Iteration[298/454] Loss: 0.0879 Acc:85.83%
Training:Epoch[000/030] Iteration[299/454] Loss: 0.0790 Acc:85.86%
Training:Epoch[000/030] Iteration[300/454] Loss: 0.0979 Acc:85.90%
Training:Epoch[000/030] Iteration[301/454] Loss: 0.0748 Acc:85.94%
Training:Epoch[000/030] Iteration[302/454] Loss: 0.0879 Acc:85.97%
Training:Epoch[000/030] Iteration[303/454] Loss: 0.0784 Acc:86.01%
Training:Epoch[000/030] Iteration[304/454] Loss: 0.0782 Acc:86.05%
Training:Epoch[000/030] Iteration[305/454] Loss: 0.0779 Acc:86.08%
Training:Epoch[000/030] Iteration[306/454] Loss: 0.0859 Acc:86.12%
Training:Epoch[000/030] Iteration[307/454] Loss: 0.0735 Acc:86.15%
Training:Epoch[000/030] Iteration[308/454] Loss: 0.0725 Acc:86.19%
Training:Epoch[000/030] Iteration[309/454] Loss: 0.0792 Acc:86.22%
Training:Epoch[000/030] Iteration[310/454] Loss: 0.0858 Acc:86.26%
Training:Epoch[000/030] Iteration[311/454] Loss: 0.0811 Acc:86.29%
Training:Epoch[000/030] Iteration[312/454] Loss: 0.0837 Acc:86.33%
Training:Epoch[000/030] Iteration[313/454] Loss: 0.0804 Acc:86.36%
Training:Epoch[000/030] Iteration[314/454] Loss: 0.0712 Acc:86.40%
Training:Epoch[000/030] Iteration[315/454] Loss: 0.0760 Acc:86.43%
Training:Epoch[000/030] Iteration[316/454] Loss: 0.0713 Acc:86.46%
Training:Epoch[000/030] Iteration[317/454] Loss: 0.0858 Acc:86.50%
Training:Epoch[000/030] Iteration[318/454] Loss: 0.0805 Acc:86.53%
Training:Epoch[000/030] Iteration[319/454] Loss: 0.0805 Acc:86.56%
Training:Epoch[000/030] Iteration[320/454] Loss: 0.0716 Acc:86.60%
Training:Epoch[000/030] Iteration[321/454] Loss: 0.0716 Acc:86.63%
Training:Epoch[000/030] Iteration[322/454] Loss: 0.0761 Acc:86.66%
Training:Epoch[000/030] Iteration[323/454] Loss: 0.0719 Acc:86.70%
Training:Epoch[000/030] Iteration[324/454] Loss: 0.0743 Acc:86.73%
Training:Epoch[000/030] Iteration[325/454] Loss: 0.0664 Acc:86.76%
Training:Epoch[000/030] Iteration[326/454] Loss: 0.0674 Acc:86.79%
Training:Epoch[000/030] Iteration[327/454] Loss: 0.0679 Acc:86.83%
Training:Epoch[000/030] Iteration[328/454] Loss: 0.0567 Acc:86.86%
Training:Epoch[000/030] Iteration[329/454] Loss: 0.0672 Acc:86.89%
Training:Epoch[000/030] Iteration[330/454] Loss: 0.0638 Acc:86.93%
Training:Epoch[000/030] Iteration[331/454] Loss: 0.0714 Acc:86.96%
Training:Epoch[000/030] Iteration[332/454] Loss: 0.0710 Acc:86.99%
Training:Epoch[000/030] Iteration[333/454] Loss: 0.0608 Acc:87.02%
Training:Epoch[000/030] Iteration[334/454] Loss: 0.0751 Acc:87.05%
Training:Epoch[000/030] Iteration[335/454] Loss: 0.0682 Acc:87.08%
Training:Epoch[000/030] Iteration[336/454] Loss: 0.0671 Acc:87.11%
Training:Epoch[000/030] Iteration[337/454] Loss: 0.0759 Acc:87.14%
Training:Epoch[000/030] Iteration[338/454] Loss: 0.0502 Acc:87.18%
Training:Epoch[000/030] Iteration[339/454] Loss: 0.0724 Acc:87.21%
Training:Epoch[000/030] Iteration[340/454] Loss: 0.0603 Acc:87.24%
Training:Epoch[000/030] Iteration[341/454] Loss: 0.0659 Acc:87.27%
Training:Epoch[000/030] Iteration[342/454] Loss: 0.0621 Acc:87.30%
Training:Epoch[000/030] Iteration[343/454] Loss: 0.0713 Acc:87.33%
Training:Epoch[000/030] Iteration[344/454] Loss: 0.0658 Acc:87.36%
Training:Epoch[000/030] Iteration[345/454] Loss: 0.0712 Acc:87.39%
Training:Epoch[000/030] Iteration[346/454] Loss: 0.0561 Acc:87.42%
Training:Epoch[000/030] Iteration[347/454] Loss: 0.0583 Acc:87.45%
Training:Epoch[000/030] Iteration[348/454] Loss: 0.0775 Acc:87.47%
Training:Epoch[000/030] Iteration[349/454] Loss: 0.0659 Acc:87.50%
